(-7.635561891427258, -5.548305589620969)
(-1.6163347944859758, -7.679331403277647)
(-1.0726712295789698, -7.868221077161987)
(-11.726881700805327, 1.8590124467406692)
(-0.3715773813294341, -3.2100973408589573)
(1.8137415054007002, -6.1402899915768)
(2.8356917184286914, -6.2211711981634465)
(-4.324303037782338, 1.9805594763010212)
(1.4015428257682672, -2.4315132384950866)
(-0.31471084445933695, -1.7232053506254017)
(3.3294336036147048, -2.9492328999660415)
(-4.20410253423432, 7.429286187618207)
(-0.8244704306890664, 4.311067545421949)
(-3.804612932799759, 5.098649891808575)
(7.7459840152151855, -0.10941103110826411)
(4.4458768866009795, 4.567005466415759)
(-1.6189419766161715, 6.525827419608813)
(3.043689190101908, 6.3817585909332095)
(8.997045743644744, 0.5066292712043321)
(2.7521311972792297, 7.736664793070716)
