(-22.65896556460884, 7.256108567839961)
(-2.4676214800347314, -9.996397159095292)
(-20.231013907693928, -7.082481097280482)
(-8.35354814263092, -8.093530903615655)
(5.106891972900627, -10.903355300985996)
(-19.10941547572949, -2.465246297706223)
(-18.672703483532292, -3.009747324950857)
(-8.821067097856144, -3.374691123289)
(-8.700097225631634, -5.683308523076129)
(-7.6887132042387565, -6.427548769791352)
(20.72788364462554, -6.433963310391251)
(-15.587230922007103, -2.1520561178371542)
(-17.75076824224952, -0.08196279496736913)
(-6.6598789895475585, -3.5002929591411154)
(-11.322508493571373, 1.097771269364239)
(0.681528478128806, -0.7164294260524096)
(-6.839518646667331, 1.097771269364239)
(2.77557722088872, 1.6000376012051554)
(-2.6910260144328726, 2.6604574813500137)
(-2.6861186833250636, 3.343941776590136)
