(-28.496445694346498, -19.126073043025936)
(-46.21826505884678, -13.676916989767202)
(-13.840589839210029, -15.305923061184163)
(-39.4878171423013, -1.8623298709862572)
(-33.4196304014899, -8.50887933580821)
(-38.000001463522906, -4.073378459889387)
(3.04088130985248, -15.263175021668056)
(-24.796171760197538, -7.310913145957627)
(-34.202025538920246, 7.46825110609899)
(-30.538440244698428, -2.5354023701185113)
(-32.30303757661892, 0.45346192363775994)
(-22.17039418629956, 0.009603626069968563)
(-15.327077531607145, -2.5076912760407475)
(-23.449564011355733, 2.987574655363451)
(-10.953717641648968, -2.3483493861423614)
(-11.75522536293045, 2.987574655363451)
(-12.689509944004907, 5.412369080584391)
(1.6348796041222293, -1.6784977521748163)
(-8.90122530349434, 6.6176835624750066)
(28.18034196201865, -1.555245370924435)
