(-65.11741880479381, -15.81018871405884)
(-58.90308834629915, -36.3245844442825)
(-68.44861156778387, 6.227050041832446)
(-21.675405133452035, -55.33794728221618)
(-32.298653357778974, -54.57073854769738)
(-57.49497715497459, -9.950753104666028)
(-44.485000693052044, -31.506185548799774)
(-7.4611746221722015, -43.09254482313358)
(-21.524283142503705, -28.01049937343045)
(-36.62679549833951, -22.54535682174734)
(-15.405580101864132, -29.542659208087937)
(-21.547509941020728, -24.042211399651833)
(-30.41246056905328, -21.465264058602557)
(-33.49188298254556, -7.8102696416442114)
(-15.264172764056973, -22.44203569593282)
(3.4764304749828554, -22.861950330234098)
(-28.49177539442914, -18.590625487195588)
(-8.93844495061047, -19.74670615637698)
(4.344547790393062, -22.266505394254924)
(-27.040460429817955, -15.708008581634292)
