(-7.26355281584498, -21.626200445612003)
(-43.03772926394873, -18.08941291959325)
(-16.798603366805224, -19.107197707213196)
(23.628888946789942, -20.069063198390563)
(-32.39818158480431, -15.447544714004511)
(-19.635682864550873, -17.892928766215974)
(-35.503902184290155, -1.6950116624685156)
(-20.217646040168248, -14.012779051693395)
(-22.79315706446189, -4.438334719666681)
(-25.738106833122792, -2.629127524845355)
(-10.818066874979007, -17.76325623855459)
(-22.629041164547978, -3.1005589319252995)
(-16.932599774405077, -3.5841842293965662)
(24.62297061763876, -17.417835137946142)
(-8.517679210639425, -17.30743990266945)
(-19.345616840032484, -1.065181490997758)
(-4.1346717924332514, -12.762838293978398)
(-11.836201462220581, 0.477736802282795)
(-0.45364255578865187, -9.942939716835596)
(20.631612097961607, -8.896388814712932)
