(109.35580944375889, 100.85380131627362)
(72.06462974285681, 108.21882304234373)
(95.56621086699184, 137.80626760768666)
(36.52581954000165, 53.305520828757416)
(77.9089731468738, 71.70685524606085)
(48.52484422750863, 78.879744294301)
(15.721148001766444, 24.735555494799513)
(21.480959172988612, 41.92298740468848)
(3.6621479970366497, 0.8469017537981947)
(46.57642373528704, 26.48631625980409)
(68.9018750551761, 85.1098858476122)
(89.10269913720118, 106.3000993916349)
(3.3507140862824123, 0.03824764405951336)
(104.04586744362727, 117.55324271542007)
(18.451279351059963, 5.298136933803335)
(6.062026445698321, 0.33324101241729587)
(18.895477503222864, 5.560831393621344)
(41.420472458823, 28.74143924380447)
(67.1656496403659, 39.48845615925509)
(38.427064560972944, 22.537700654794424)
