(-65.59026283685868, -15.879340771446)
(67.71703786860434, -20.8236279622491)
(31.33889137788872, -16.0998189119794)
(-83.28916670414246, 35.096249804140825)
(-52.83338252692256, 19.12230770020163)
(-7.893309103796517, -9.348197052499755)
(-9.239711860163613, -6.41645608060376)
(-45.423740314304176, -5.81837615251548)
(-40.755108391991364, -1.6723146696311026)
(-5.272804620766664, -2.1815858139899866)
(-18.530204141775982, 0.7250697556402521)
(43.69312661913084, -1.6445525600782673)
(5.887953132930413, 4.0931628947964045)
(16.330019987511267, 11.107277297802558)
(33.85091882090251, 7.917223031454313)
(25.036208829858843, 23.91707655074434)
(34.006669116326485, 15.603543808873198)
(85.01377592414944, 20.306198723269503)
(49.27212625229011, 21.206086143246857)
(70.56609311780912, 39.713878992007714)
