(-1.7838295710413022E96, -2.196290121928977E98, -3.006589372075191E102)
(-4.0706612183655816E96, -9.334664657997006E97, -3.4133810309980453E102)
(6.154487481008023E96, -2.5275664909522208E98, -2.5089211336352474E102)
(-4.419055876207987E96, -8.124805684831886E97, -3.6622984140969405E102)
(-1.507557706366616E96, 6.993086123378008E97, -4.597425528554003E102)
(7.27224492178634E96, -1.0155084929857071E97, -4.577449738271317E102)
(2.962023130847959E96, -1.655219273747585E98, -3.226938330047674E102)
(1.702597697326245E96, -1.597188665076166E98, -2.938752265453072E102)
(-1.550114247744784E96, -1.7561319889006803E98, -2.0238505355571427E102)
(6.948765245832748E96, -1.9710092635058366E98, -2.3579683597193123E102)
(-1.8155230185961181E96, -1.033091206985181E97, -3.812525148964767E101)
(-3.170867588048398E96, 2.34009932132041E97, -2.7503700966885373E102)
(2.962023130847959E96, 2.34009932132041E97, -3.1756928976707605E102)
(3.129656439446191E95, -1.6013798394634504E98, -1.325414459039322E102)
(-5.945319541409856E95, -1.242235117693501E98, -1.1084496171043199E102)
(-5.667550118315844E95, -8.869716367604192E97, -1.3449516036608464E102)
(2.1332304731057475E96, 1.3000455063107182E98, -1.8997031342823087E102)
(3.2960282233354816E96, -2.505329858530321E97, -3.127184886443227E101)
(2.1332304731057475E96, -5.931850688807989E97, 7.803152965710424E101)
(1.6607107386781893E96, 5.353951101432138E97, 4.12851572876567E101)
