(522029.1397121109, 523297.67075111414, 521920.4585868341)
(164983.69579458016, 165521.58950707506, 165035.03566359865)
(137730.71949229494, 136759.55840391575, 137072.35094397853)
(529831.7320468944, 531171.9389342129, 530042.7742833456)
(214946.040358816, 215642.76303590406, 215145.38478182207)
(324704.2920343539, 325744.0437675849, 325079.91105099715)
(188767.96367041362, 189222.0577937089, 188996.21932568916)
(250942.21996863658, 251659.00790538653, 250589.49544854852)
(162210.33825254167, 162794.49119877687, 162319.20381702654)
(36207.86862506644, 36064.731488848345, 36246.120552795735)
(331958.9013969097, 333069.3451859548, 332119.2514984195)
(18904.041838258738, 18796.92046194371, 18690.13871631339)
(66969.02330865974, 67305.56506872235, 66875.32312332776)
(148144.37014650772, 149155.49315421216, 148815.56083254187)
(80574.81952866164, 80933.99795367793, 80673.96682701925)
(86988.55520441767, 87494.9014422941, 87046.6341153343)
(24420.12975778838, 24113.93254273563, 24479.069756078774)
(20236.892238937955, 20343.82301361245, 20078.939057163236)
(34126.186866779775, 34427.82431817841, 34277.25676065068)
(33440.25830224843, 33893.80652398898, 33709.36187314946)
